INFO:root:*********** EVOLUTIONARY CLASSIFICATION WITH DYNAMIC ENSEMBLE SELECTION ********* 
INFO:root:Version: 0.1.4
INFO:root:Get and Process the Data
INFO:root:Initialize the Population
INFO:root:Generation no: 1
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.853448275862069
INFO:root:Generation no: 2
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.8544827586206897
INFO:root:Generation no: 3
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.8555172413793103
INFO:root:Generation no: 4
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.8555172413793103
INFO:root:Generation no: 5
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:crossover. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:mutation. Solution no 7
INFO:root:Best Fitness Score: 0.9220689655172414
INFO:root:Generation no: 6
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.9220689655172414
INFO:root:Generation no: 7
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.9565517241379311
INFO:root:Generation no: 8
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.9565517241379311
INFO:root:Generation no: 9
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 10
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 11
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 12
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 13
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 14
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 15
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 16
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 17
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 18
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.956896551724138
INFO:root:Generation no: 19
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.9903448275862069
INFO:root:Generation no: 20
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.9903448275862069
INFO:root:Generation no: 21
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.9903448275862069
INFO:root:Generation no: 22
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:current. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:crossover. Solution no 8
INFO:root:mutation. Solution no 9
INFO:root:Best Fitness Score: 0.9903448275862069
INFO:root:Generation no: 23
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.9906896551724138
INFO:root:Generation no: 24
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:current. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:crossover. Solution no 7
INFO:root:mutation. Solution no 8
INFO:root:Best Fitness Score: 0.9906896551724138
INFO:root:Generation no: 25
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:crossover. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:mutation. Solution no 5
INFO:root:Best Fitness Score: 0.9906896551724138
INFO:root:Generation no: 26
INFO:root:current. Solution no 0
INFO:root:current. Solution no 1
INFO:root:current. Solution no 2
INFO:root:crossover. Solution no 3
INFO:root:crossover. Solution no 4
INFO:root:crossover. Solution no 5
INFO:root:crossover. Solution no 6
INFO:root:mutation. Solution no 7
INFO:root:Best Fitness Score: 0.9906896551724138
INFO:root:Generation no: 27
